country,year,age_group,pay_gap,flag
Albania,2018,Less than 25 years,0.3,
Austria,2018,Less than 25 years,7.7,
Austria,2022,Less than 25 years,9.1,
Belgium,2015,Less than 25 years,-1.4,
Belgium,2016,Less than 25 years,-0.8,
Belgium,2017,Less than 25 years,0.0,
Belgium,2018,Less than 25 years,1.0,
Belgium,2019,Less than 25 years,-1.2,
Belgium,2020,Less than 25 years,-3.8,
Belgium,2021,Less than 25 years,-6.3,
Belgium,2022,Less than 25 years,-8.5,
Belgium,2023,Less than 25 years,-8.3,p
Belgium,2024,Less than 25 years,-8.3,p
Bulgaria,2015,Less than 25 years,8.4,
Bulgaria,2016,Less than 25 years,8.0,
Bulgaria,2017,Less than 25 years,8.0,
Bulgaria,2018,Less than 25 years,8.0,
Bulgaria,2019,Less than 25 years,7.9,
Bulgaria,2020,Less than 25 years,6.1,
Bulgaria,2021,Less than 25 years,5.4,
Bulgaria,2022,Less than 25 years,5.9,
Bulgaria,2023,Less than 25 years,6.9,p
Bulgaria,2024,Less than 25 years,5.3,p
Croatia,2016,Less than 25 years,4.4,
Croatia,2017,Less than 25 years,5.0,
Croatia,2018,Less than 25 years,3.5,
Croatia,2019,Less than 25 years,4.6,
Croatia,2020,Less than 25 years,6.4,
Croatia,2021,Less than 25 years,4.9,
Croatia,2022,Less than 25 years,3.8,
Croatia,2023,Less than 25 years,3.9,p
Croatia,2024,Less than 25 years,2.7,p
Cyprus,2015,Less than 25 years,6.0,
Cyprus,2016,Less than 25 years,8.4,
Cyprus,2017,Less than 25 years,10.8,
Cyprus,2018,Less than 25 years,13.3,
Cyprus,2019,Less than 25 years,10.8,
Cyprus,2020,Less than 25 years,10.8,
Cyprus,2021,Less than 25 years,8.4,
Cyprus,2022,Less than 25 years,4.7,
Cyprus,2023,Less than 25 years,4.4,p
Cyprus,2024,Less than 25 years,4.4,p
Czechia,2015,Less than 25 years,12.0,d
Czechia,2016,Less than 25 years,11.3,d
Czechia,2017,Less than 25 years,11.1,d
Czechia,2018,Less than 25 years,10.4,d
Czechia,2019,Less than 25 years,9.6,
Czechia,2020,Less than 25 years,5.8,
Czechia,2021,Less than 25 years,4.4,
Czechia,2022,Less than 25 years,7.1,
Czechia,2023,Less than 25 years,8.2,d
Czechia,2024,Less than 25 years,7.7,dp
Denmark,2015,Less than 25 years,5.9,
Denmark,2016,Less than 25 years,6.2,
Denmark,2017,Less than 25 years,5.8,
Denmark,2018,Less than 25 years,4.7,
Denmark,2019,Less than 25 years,4.2,
Denmark,2020,Less than 25 years,3.9,
Denmark,2021,Less than 25 years,4.4,
Denmark,2022,Less than 25 years,4.5,
Denmark,2023,Less than 25 years,5.7,p
Denmark,2024,Less than 25 years,6.3,p
Estonia,2018,Less than 25 years,12.2,
Estonia,2023,Less than 25 years,19.6,p
Estonia,2024,Less than 25 years,18.8,p
Finland,2015,Less than 25 years,3.7,
Finland,2016,Less than 25 years,5.0,
Finland,2017,Less than 25 years,6.3,
Finland,2018,Less than 25 years,4.9,
Finland,2019,Less than 25 years,5.6,
Finland,2020,Less than 25 years,5.2,
Finland,2021,Less than 25 years,4.8,
Finland,2022,Less than 25 years,4.6,
Finland,2023,Less than 25 years,-0.5,p
Finland,2024,Less than 25 years,-1.1,bp
France,2015,Less than 25 years,-2.0,
France,2016,Less than 25 years,-0.2,
France,2017,Less than 25 years,1.7,
France,2018,Less than 25 years,3.5,
France,2019,Less than 25 years,1.7,
France,2020,Less than 25 years,-1.6,
France,2021,Less than 25 years,-4.4,
France,2022,Less than 25 years,-6.5,
France,2023,Less than 25 years,-6.1,p
France,2024,Less than 25 years,-5.2,p
Germany,2018,Less than 25 years,6.0,
Germany,2022,Less than 25 years,1.3,b
Germany,2023,Less than 25 years,1.7,p
Germany,2024,Less than 25 years,-0.4,p
Greece,2018,Less than 25 years,4.2,
Greece,2022,Less than 25 years,-3.3,
Greece,2023,Less than 25 years,-4.4,p
Greece,2024,Less than 25 years,-3.4,p
Hungary,2015,Less than 25 years,3.3,
Hungary,2016,Less than 25 years,3.7,
Hungary,2017,Less than 25 years,3.0,b
Hungary,2018,Less than 25 years,7.9,
Hungary,2019,Less than 25 years,8.2,b
Hungary,2020,Less than 25 years,7.1,p
Hungary,2021,Less than 25 years,7.5,p
Hungary,2022,Less than 25 years,7.6,p
Hungary,2023,Less than 25 years,7.1,p
Hungary,2024,Less than 25 years,8.5,p
Iceland,2015,Less than 25 years,3.0,
Iceland,2016,Less than 25 years,2.2,
Iceland,2017,Less than 25 years,0.5,
Iceland,2018,Less than 25 years,0.2,
Iceland,2019,Less than 25 years,1.8,
Iceland,2020,Less than 25 years,-0.6,
Iceland,2021,Less than 25 years,1.0,
Iceland,2022,Less than 25 years,0.5,
Iceland,2023,Less than 25 years,0.5,p
Iceland,2024,Less than 25 years,0.7,p
Ireland,2015,Less than 25 years,2.9,p
Ireland,2016,Less than 25 years,3.0,p
Ireland,2017,Less than 25 years,3.0,p
Ireland,2018,Less than 25 years,-5.3,
Ireland,2019,Less than 25 years,-3.8,
Ireland,2020,Less than 25 years,1.6,
Ireland,2021,Less than 25 years,-0.9,
Ireland,2022,Less than 25 years,1.2,
Ireland,2023,Less than 25 years,1.0,p
Ireland,2024,Less than 25 years,0.9,p
Italy,2015,Less than 25 years,10.7,p
Italy,2016,Less than 25 years,16.0,p
Italy,2017,Less than 25 years,15.8,p
Italy,2018,Less than 25 years,4.9,
Italy,2019,Less than 25 years,4.3,
Italy,2020,Less than 25 years,6.0,
Italy,2021,Less than 25 years,5.2,
Italy,2022,Less than 25 years,5.6,
Italy,2023,Less than 25 years,8.3,p
Italy,2024,Less than 25 years,8.3,p
Latvia,2015,Less than 25 years,12.2,d
Latvia,2016,Less than 25 years,11.6,d
Latvia,2017,Less than 25 years,11.5,d
Latvia,2018,Less than 25 years,10.3,d
Latvia,2019,Less than 25 years,10.8,
Latvia,2020,Less than 25 years,12.2,
