DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Albania,2018,0.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Austria,2018,7.7,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Austria,2022,9.1,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2015,-1.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2016,-0.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2017,0.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2018,1.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2019,-1.2,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2020,-3.8,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2021,-6.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2022,-8.5,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2023,-8.3,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2024,-8.3,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2015,8.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2016,8.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2017,8.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2018,8.0,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2019,7.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2020,6.1,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2021,5.4,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2022,5.9,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2023,6.9,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2024,5.3,p,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2015,4.3,,
ESTAT:EARN_GR_GPGR2AG$DEFAULTVIEW(1.0),02/03/26 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2016,3.8,,
